epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,49.0312,2.49338,4.05619,2.3421,0.32163,0.1454,0.1076,0.03311,2.40958,3.26227,2.36209,0.00109989,0.00036663,0.00109989,0.00036663,0.00109989,0.00036663,0.00109989,0.00036663
2,89.1852,2.13248,2.61944,1.97433,0.31394,0.38151,0.3276,0.12666,2.06288,2.04079,1.95442,0.00220752,0.000735839,0.00220752,0.000735839,0.00220752,0.000735839,0.00220752,0.000735839
3,128.585,1.91782,1.95184,1.76985,0.38005,0.47539,0.42053,0.17049,1.93829,1.64272,1.81684,0.00330165,0.00110055,0.00330165,0.00110055,0.00330165,0.00110055,0.00330165,0.00110055
4,166.145,1.8385,1.71469,1.6604,0.45776,0.49549,0.50382,0.21972,1.84997,1.4476,1.72343,0.00328741,0.0010958,0.00328741,0.0010958,0.00328741,0.0010958,0.00328741,0.0010958
5,203.804,1.78279,1.55985,1.61524,0.71741,0.50257,0.5337,0.23634,1.81844,1.36251,1.69074,0.00325225,0.00108408,0.00325225,0.00108408,0.00325225,0.00108408,0.00325225,0.00108408
6,241.445,1.7313,1.46354,1.58209,0.54013,0.56893,0.55687,0.24579,1.80824,1.28639,1.67998,0.00320741,0.00106914,0.00320741,0.00106914,0.00320741,0.00106914,0.00320741,0.00106914
7,279.041,1.72215,1.36344,1.58022,0.52341,0.59637,0.56744,0.25901,1.77199,1.25962,1.64989,0.00315318,0.00105106,0.00315318,0.00105106,0.00315318,0.00105106,0.00315318,0.00105106
8,316.767,1.68584,1.34353,1.56474,0.58284,0.60029,0.59404,0.27517,1.75922,1.20456,1.63596,0.00308988,0.00102996,0.00308988,0.00102996,0.00308988,0.00102996,0.00308988,0.00102996
9,354.488,1.64743,1.26743,1.51771,0.58716,0.61464,0.59566,0.27233,1.76072,1.19602,1.63438,0.00301791,0.00100597,0.00301791,0.00100597,0.00301791,0.00100597,0.00301791,0.00100597
10,391.776,1.65123,1.23148,1.51989,0.61842,0.59444,0.60116,0.27279,1.77626,1.18612,1.63965,0.00293771,0.000979236,0.00293771,0.000979236,0.00293771,0.000979236,0.00293771,0.000979236
11,429.302,1.65543,1.21213,1.51372,0.6249,0.6022,0.62133,0.28005,1.77282,1.16796,1.63266,0.00284977,0.000949925,0.00284977,0.000949925,0.00284977,0.000949925,0.00284977,0.000949925
12,466.984,1.61824,1.15982,1.4725,0.64897,0.58766,0.63974,0.2889,1.77123,1.16215,1.62375,0.00275465,0.000918216,0.00275465,0.000918216,0.00275465,0.000918216,0.00275465,0.000918216
13,504.55,1.60886,1.13527,1.48415,0.62353,0.62557,0.63835,0.29181,1.77575,1.13106,1.63279,0.00265291,0.000884305,0.00265291,0.000884305,0.00265291,0.000884305,0.00265291,0.000884305
14,542.151,1.60544,1.12351,1.48056,0.61125,0.6458,0.6383,0.28905,1.79291,1.09938,1.64186,0.0025452,0.0008484,0.0025452,0.0008484,0.0025452,0.0008484,0.0025452,0.0008484
15,579.697,1.59367,1.10841,1.47276,0.69664,0.60966,0.65562,0.2955,1.78055,1.09807,1.63712,0.00243217,0.000810725,0.00243217,0.000810725,0.00243217,0.000810725,0.00243217,0.000810725
16,617.372,1.5641,1.0887,1.46106,0.65507,0.63428,0.64945,0.29534,1.77227,1.08685,1.63011,0.00231453,0.00077151,0.00231453,0.00077151,0.00231453,0.00077151,0.00231453,0.00077151
17,654.724,1.56743,1.07373,1.4529,0.70829,0.6608,0.66604,0.3062,1.76209,1.07894,1.62703,0.00219299,0.000730997,0.00219299,0.000730997,0.00219299,0.000730997,0.00219299,0.000730997
18,692.233,1.56057,1.04738,1.44992,0.64417,0.64573,0.66394,0.3076,1.77057,1.06774,1.62273,0.00206831,0.000689437,0.00206831,0.000689437,0.00206831,0.000689437,0.00206831,0.000689437
19,729.931,1.55611,1.02539,1.45587,0.69097,0.63283,0.66128,0.30576,1.78076,1.0682,1.63377,0.00194126,0.000647085,0.00194126,0.000647085,0.00194126,0.000647085,0.00194126,0.000647085
20,767.283,1.52636,0.99932,1.41899,0.66889,0.65173,0.6679,0.3027,1.7875,1.0647,1.63576,0.00181261,0.000604203,0.00181261,0.000604203,0.00181261,0.000604203,0.00181261,0.000604203
21,804.755,1.521,0.982,1.41624,0.66062,0.66083,0.66872,0.30178,1.78533,1.06456,1.63753,0.00168317,0.000561055,0.00168317,0.000561055,0.00168317,0.000561055,0.00168317,0.000561055
22,842.19,1.52241,0.98072,1.42121,0.65875,0.64953,0.66673,0.30074,1.79642,1.05231,1.65036,0.00155372,0.000517907,0.00155372,0.000517907,0.00155372,0.000517907,0.00155372,0.000517907
23,879.651,1.50757,0.97296,1.42203,0.62779,0.66472,0.66947,0.30126,1.8039,1.04834,1.64186,0.00142507,0.000475025,0.00142507,0.000475025,0.00142507,0.000475025,0.00142507,0.000475025
24,916.508,1.4974,0.97716,1.41044,0.69569,0.65014,0.6761,0.30561,1.80031,1.03765,1.65484,0.00129802,0.000432673,0.00129802,0.000432673,0.00129802,0.000432673,0.00129802,0.000432673
25,953.319,1.49729,0.96441,1.41951,0.6816,0.64253,0.66201,0.30011,1.79647,1.06173,1.63959,0.00117334,0.000391113,0.00117334,0.000391113,0.00117334,0.000391113,0.00117334,0.000391113
26,990.03,1.47827,0.93832,1.3984,0.70833,0.62699,0.66988,0.30168,1.79533,1.03235,1.64508,0.0010518,0.0003506,0.0010518,0.0003506,0.0010518,0.0003506,0.0010518,0.0003506
27,1026.97,1.46764,0.91877,1.3898,0.71118,0.63884,0.67252,0.30255,1.8021,1.04135,1.64716,0.000934156,0.000311385,0.000934156,0.000311385,0.000934156,0.000311385,0.000934156,0.000311385
28,1063.66,1.47024,0.91228,1.39431,0.7218,0.63807,0.66858,0.30674,1.79786,1.02143,1.64394,0.000821129,0.00027371,0.000821129,0.00027371,0.000821129,0.00027371,0.000821129,0.00027371
29,1100.55,1.47777,0.91648,1.39184,0.70978,0.6519,0.67505,0.30853,1.8048,1.02325,1.64449,0.000713416,0.000237805,0.000713416,0.000237805,0.000713416,0.000237805,0.000713416,0.000237805
30,1137.52,1.43508,0.90278,1.36789,0.67096,0.66641,0.67595,0.31168,1.79769,1.01841,1.64576,0.000611683,0.000203894,0.000611683,0.000203894,0.000611683,0.000203894,0.000611683,0.000203894
